UGT,UGA,UGE,UARP,AGT,AGA,AGE,AARP,RANDOM,subject,gn,ts
0.971675728472,0.973975259975,0.974246340754,0.954195180723,0.977066556218,0.983892245119,0.983202154144,0.952532193983,0.940770718665,nv-websocket-client,4,1.5
0.96730883872,0.97458562857,0.976253356721,0.976564245256,0.978929956862,0.978448803615,0.978917425939,0.978741451089,0.976276646675,webbit,4,1.5
0.974951522972,0.979943667375,0.980236985232,0.969111404488,0.985146831349,0.99101980449,0.983133658268,0.983595847297,0.963448484708,protoparser,4,1.5
0.956979692538,0.962867822072,0.961053884844,0.952697456867,0.964786925747,0.968984892758,0.9697741142,0.957061367957,0.941722925206,lanterna,4,1.5
0.96423562154,0.975192115247,0.967004343286,0.961104037221,0.982647325696,0.984402248999,0.981776316117,0.966748475898,0.94934729433,jackson-datatype-guava-v2,4,1.5
0.935971282856,0.971422246263,0.975836544043,0.96366999909,0.980918261755,0.985657867575,0.982539408765,0.976809658848,0.950721655627,gson-fire-v2,4,1.5
0.940311356346,0.951777330676,0.947097646644,0.950088352813,0.993535799061,0.991226097273,0.990858180873,0.993326613388,0.958469463983,jackson-core,4,1.5
0.960507765434,0.976533862776,0.994032553601,0.992588175625,0.993422143524,0.994750803975,0.995129053466,0.990104267766,0.986720764277,DiskLruCache,4,1.5
0.951756069249,0.975120474549,0.953109282417,0.939149159133,0.98523231574,0.981498682395,0.983389715033,0.98632760196,0.96562456646,JActor,4,1.5
0.96411471262,0.976079091583,0.948607772109,0.945944652972,0.992614410309,0.990292845439,0.987103585161,0.989646419705,0.955534675335,joss,4,1.5
0.927688018532,0.977516217931,0.945053198061,0.93100744613,0.982089850801,0.984359891815,0.984314290578,0.982388015665,0.937559526295,restcountries,4,1.5
0.791978877672,0.906642003727,0.931746300678,0.981099040641,0.99516232498,0.990845939985,0.995214794904,0.987432056635,0.968082700499,asterisk-java-v2,4,1.5
0.972382298525,0.963159030531,0.983882330254,0.976627506778,0.988483641698,0.990216290769,0.990506698826,0.973954805336,0.971167888651,low-gc-membuffers,4,1.5
0.894241765175,0.906019271029,0.908766134941,0.906069944946,0.916695058778,0.91992823991,0.919315890754,0.911171684403,0.907260912139,raml-java-parser,4,1.5
