apfdc,label,order
0.989480359764,6,6
0.989936461931,6,6
0.992661629225,6,6
0.992993146803,6,6
0.993174376373,6,6
0.993305536025,6,6
0.993369481636,6,6
0.994306494701,6,6
0.994475069808,6,6
0.994656026073,6,6
0.997043720375,7,7
0.997813609148,7,7
0.99793125835,7,7
0.998052471983,7,7
0.998083489713,7,7
0.998096584816,7,7
0.998117766915,7,7
0.998203423049,7,7
0.998347814546,7,7
0.998675799125,7,7
0.958556481869,12,12
0.958786640979,12,12
0.958901049917,12,12
0.95895142708,12,12
0.958994960166,12,12
0.959122186886,12,12
0.959240073026,12,12
0.959243185698,12,12
0.95925740324,12,12
0.959300848499,12,12
0.993008275202,17,17
0.995688562183,17,17
0.99578696446,17,17
0.995792519223,17,17
0.995938572673,17,17
0.995978111138,17,17
0.996082744332,17,17
0.996104356535,17,17
0.996546140718,17,17
0.996653428705,17,17
0.986115650386,38,38
0.9861285621,38,38
0.986204862261,38,38
0.986368619112,38,38
0.986685258728,38,38
0.986739972117,38,38
0.986841530819,38,38
0.986978556386,38,38
0.987703892107,38,38
0.988480350146,38,38
0.97869451871,39,39
0.983610474802,39,39
0.984680857185,39,39
0.985474296784,39,39
0.985490799066,39,39
0.986176555114,39,39
0.98630551922,39,39
0.986456157967,39,39
0.987300877793,39,39
0.988474559539,39,39
0.996262150634,51,51
0.996417178061,51,51
0.996981712225,51,51
0.997261654155,51,51
0.997408664166,51,51
0.997459474011,51,51
0.997670220638,51,51
0.997690372453,51,51
0.997790824935,51,51
0.997797612906,51,51
0.989564281808,52,52
0.989663345186,52,52
0.989672847711,52,52
0.989732491876,52,52
0.989855119425,52,52
0.989953340636,52,52
0.990124480199,52,52
0.990147936674,52,52
0.990790410823,52,52
0.990864910202,52,52
