apfdc,tech,order
0.989713889046,UGE,6
0.990582891895,UGE,6
0.991014293302,UGE,6
0.992339093341,UGE,6
0.992542300209,UGE,6
0.992915381044,UGE,6
0.993726504757,UGE,6
0.993798415379,UGE,6
0.993819162285,UGE,6
0.99388475423,UGE,6
0.998340877561,UGE,7
0.998442970253,UGE,7
0.998485517383,UGE,7
0.998660862691,UGE,7
0.998755181356,UGE,7
0.998824267916,UGE,7
0.998902980746,UGE,7
0.999134543419,UGE,7
0.999153546231,UGE,7
0.999291583835,UGE,7
0.956281076483,UGE,12
0.95675606478,UGE,12
0.958433227784,UGE,12
0.959153928678,UGE,12
0.959185790197,UGE,12
0.959216699087,UGE,12
0.959315625487,UGE,12
0.959434870985,UGE,12
0.959544840928,UGE,12
0.959580698417,UGE,12
0.992158873435,UGE,17
0.993078696011,UGE,17
0.993616787492,UGE,17
0.994195539951,UGE,17
0.994271081209,UGE,17
0.994345335444,UGE,17
0.99442107918,UGE,17
0.994596865309,UGE,17
0.994626140612,UGE,17
0.995933146184,UGE,17
0.988484465755,UGE,38
0.988893867969,UGE,38
0.989362522846,UGE,38
0.989384553458,UGE,38
0.989438621261,UGE,38
0.989576574858,UGE,38
0.989731959269,UGE,38
0.989767204214,UGE,38
0.990858526509,UGE,38
0.991032410985,UGE,38
0.984233669957,UGE,39
0.984554996492,UGE,39
0.984659724411,UGE,39
0.985945523157,UGE,39
0.986459212121,UGE,39
0.986906891954,UGE,39
0.987463930197,UGE,39
0.987648164636,UGE,39
0.988128947555,UGE,39
0.988845639225,UGE,39
0.994218196587,UGE,51
0.995692728576,UGE,51
0.995832009788,UGE,51
0.99599008035,UGE,51
0.996298687462,UGE,51
0.996301876763,UGE,51
0.997269937983,UGE,51
0.997375522195,UGE,51
0.997440030523,UGE,51
0.997535208516,UGE,51
0.987337991712,UGE,52
0.987582611197,UGE,52
0.988071665655,UGE,52
0.988526212173,UGE,52
0.989076062674,UGE,52
0.98930982882,UGE,52
0.989997921863,UGE,52
0.99034923733,UGE,52
0.990785368098,UGE,52
0.991146876323,UGE,52
0.989480359764,UARP,6
0.989936461931,UARP,6
0.992661629225,UARP,6
0.992993146803,UARP,6
0.993174376373,UARP,6
0.993305536025,UARP,6
0.993369481636,UARP,6
0.994306494701,UARP,6
0.994475069808,UARP,6
0.994656026073,UARP,6
0.997043720375,UARP,7
0.997813609148,UARP,7
0.99793125835,UARP,7
0.998052471983,UARP,7
0.998083489713,UARP,7
0.998096584816,UARP,7
0.998117766915,UARP,7
0.998203423049,UARP,7
0.998347814546,UARP,7
0.998675799125,UARP,7
0.958556481869,UARP,12
0.958786640979,UARP,12
0.958901049917,UARP,12
0.95895142708,UARP,12
0.958994960166,UARP,12
0.959122186886,UARP,12
0.959240073026,UARP,12
0.959243185698,UARP,12
0.95925740324,UARP,12
0.959300848499,UARP,12
0.993008275202,UARP,17
0.995688562183,UARP,17
0.99578696446,UARP,17
0.995792519223,UARP,17
0.995938572673,UARP,17
0.995978111138,UARP,17
0.996082744332,UARP,17
0.996104356535,UARP,17
0.996546140718,UARP,17
0.996653428705,UARP,17
0.986115650386,UARP,38
0.9861285621,UARP,38
0.986204862261,UARP,38
0.986368619112,UARP,38
0.986685258728,UARP,38
0.986739972117,UARP,38
0.986841530819,UARP,38
0.986978556386,UARP,38
0.987703892107,UARP,38
0.988480350146,UARP,38
0.97869451871,UARP,39
0.983610474802,UARP,39
0.984680857185,UARP,39
0.985474296784,UARP,39
0.985490799066,UARP,39
0.986176555114,UARP,39
0.98630551922,UARP,39
0.986456157967,UARP,39
0.987300877793,UARP,39
0.988474559539,UARP,39
0.996262150634,UARP,51
0.996417178061,UARP,51
0.996981712225,UARP,51
0.997261654155,UARP,51
0.997408664166,UARP,51
0.997459474011,UARP,51
0.997670220638,UARP,51
0.997690372453,UARP,51
0.997790824935,UARP,51
0.997797612906,UARP,51
0.989564281808,UARP,52
0.989663345186,UARP,52
0.989672847711,UARP,52
0.989732491876,UARP,52
0.989855119425,UARP,52
0.989953340636,UARP,52
0.990124480199,UARP,52
0.990147936674,UARP,52
0.990790410823,UARP,52
0.990864910202,UARP,52
0.99718102446,AGE,6
0.997389613686,AGE,6
0.997391009444,AGE,6
0.997584663588,AGE,6
0.997594114946,AGE,6
0.997661525087,AGE,6
0.997715942407,AGE,6
0.997784318014,AGE,6
0.997806808843,AGE,6
0.997889790199,AGE,6
0.999407692726,AGE,7
0.999609542335,AGE,7
0.999617598952,AGE,7
0.999636162172,AGE,7
0.999642638682,AGE,7
0.999663877683,AGE,7
0.999664582972,AGE,7
0.999679041781,AGE,7
0.999727063066,AGE,7
0.999751932645,AGE,7
0.95941421376,AGE,12
0.959562540758,AGE,12
0.95956652283,AGE,12
0.959603768013,AGE,12
0.959610072072,AGE,12
0.959632725919,AGE,12
0.959633383177,AGE,12
0.959641336172,AGE,12
0.959650425497,AGE,12
0.959689289282,AGE,12
0.997602395794,AGE,17
0.997647014603,AGE,17
0.997652033271,AGE,17
0.99767275028,AGE,17
0.997729700329,AGE,17
0.997731433542,AGE,17
0.997736529438,AGE,17
0.997738439188,AGE,17
0.997758921069,AGE,17
0.997767863502,AGE,17
0.989429905854,AGE,38
0.989798212502,AGE,38
0.990257829179,AGE,38
0.990268178725,AGE,38
0.990349865492,AGE,38
0.990537630061,AGE,38
0.990962990347,AGE,38
0.990964483264,AGE,38
0.99110062115,AGE,38
0.991387462951,AGE,38
0.989479326876,AGE,39
0.989575138636,AGE,39
0.989583907013,AGE,39
0.989586616343,AGE,39
0.989600507817,AGE,39
0.989624990308,AGE,39
0.989638536958,AGE,39
0.989657058923,AGE,39
0.989669817404,AGE,39
0.989679521731,AGE,39
0.997917549992,AGE,51
0.998092308948,AGE,51
0.998178175681,AGE,51
0.998253872339,AGE,51
0.998272446787,AGE,51
0.998279009801,AGE,51
0.998292658197,AGE,51
0.998342054759,AGE,51
0.998357684675,AGE,51
0.998414384159,AGE,51
0.995094064592,AGE,52
0.995213856839,AGE,52
0.995291403114,AGE,52
0.995390796817,AGE,52
0.995421955978,AGE,52
0.995434939705,AGE,52
0.995496015276,AGE,52
0.99553540038,AGE,52
0.995621524094,AGE,52
0.995642350753,AGE,52
0.991122992643,AARP,6
0.996994795948,AARP,6
0.997161051236,AARP,6
0.997236269985,AARP,6
0.997394135466,AARP,6
0.997457672752,AARP,6
0.997611713375,AARP,6
0.997639192557,AARP,6
0.997651799873,AARP,6
0.997701650754,AARP,6
0.999472105599,AARP,7
0.999480543096,AARP,7
0.999523802457,AARP,7
0.999538602507,AARP,7
0.99960876568,AARP,7
0.999639689063,AARP,7
0.999710866971,AARP,7
0.999719153665,AARP,7
0.99972020776,AARP,7
0.999774652442,AARP,7
0.959207653834,AARP,12
0.959209641579,AARP,12
0.95922330937,AARP,12
0.959252123534,AARP,12
0.959255842339,AARP,12
0.959298593084,AARP,12
0.95930444944,AARP,12
0.95940389787,AARP,12
0.959416014201,AARP,12
0.959467148108,AARP,12
0.996432865283,AARP,17
0.997203080404,AARP,17
0.997278249948,AARP,17
0.997303109185,AARP,17
0.99731325701,AARP,17
0.997365422123,AARP,17
0.997435983192,AARP,17
0.997444645858,AARP,17
0.997447424228,AARP,17
0.997484125765,AARP,17
0.986540465958,AARP,38
0.986664478938,AARP,38
0.986715581082,AARP,38
0.98678526399,AARP,38
0.986802654455,AARP,38
0.986986101669,AARP,38
0.987218673922,AARP,38
