apfdc,label,order
0.99718102446,6,6
0.997389613686,6,6
0.997391009444,6,6
0.997584663588,6,6
0.997594114946,6,6
0.997661525087,6,6
0.997715942407,6,6
0.997784318014,6,6
0.997806808843,6,6
0.997889790199,6,6
0.999407692726,7,7
0.999609542335,7,7
0.999617598952,7,7
0.999636162172,7,7
0.999642638682,7,7
0.999663877683,7,7
0.999664582972,7,7
0.999679041781,7,7
0.999727063066,7,7
0.999751932645,7,7
0.95941421376,12,12
0.959562540758,12,12
0.95956652283,12,12
0.959603768013,12,12
0.959610072072,12,12
0.959632725919,12,12
0.959633383177,12,12
0.959641336172,12,12
0.959650425497,12,12
0.959689289282,12,12
0.997602395794,17,17
0.997647014603,17,17
0.997652033271,17,17
0.99767275028,17,17
0.997729700329,17,17
0.997731433542,17,17
0.997736529438,17,17
0.997738439188,17,17
0.997758921069,17,17
0.997767863502,17,17
0.989429905854,38,38
0.989798212502,38,38
0.990257829179,38,38
0.990268178725,38,38
0.990349865492,38,38
0.990537630061,38,38
0.990962990347,38,38
0.990964483264,38,38
0.99110062115,38,38
0.991387462951,38,38
0.989479326876,39,39
0.989575138636,39,39
0.989583907013,39,39
0.989586616343,39,39
0.989600507817,39,39
0.989624990308,39,39
0.989638536958,39,39
0.989657058923,39,39
0.989669817404,39,39
0.989679521731,39,39
0.997917549992,51,51
0.998092308948,51,51
0.998178175681,51,51
0.998253872339,51,51
0.998272446787,51,51
0.998279009801,51,51
0.998292658197,51,51
0.998342054759,51,51
0.998357684675,51,51
0.998414384159,51,51
0.995094064592,52,52
0.995213856839,52,52
0.995291403114,52,52
0.995390796817,52,52
0.995421955978,52,52
0.995434939705,52,52
0.995496015276,52,52
0.99553540038,52,52
0.995621524094,52,52
0.995642350753,52,52
