UGT,UGA,UGE,UARP,AGT,AGA,AGE,AARP,RANDOM
146.2,2.5,1.1,1.0,1.5,1.5,1.2,1.0,1.602
65.1,2.5,1.6,1.6,1.5,1.4,1.7,1.1,1.392
65.1,2.5,2.3,1.0,1.5,1.4,1.2,1.0,1.34
65.1,2.5,1.9,1.1,1.5,1.4,1.1,1.0,1.364
65.1,2.5,1.5,1.0,1.5,1.4,1.0,1.0,1.324
3.7,1.7,1.4,1.0,1.2,1.0,1.0,1.0,1.196
3.7,1.7,1.2,1.0,1.2,1.0,1.0,1.0,1.236
3.7,1.7,1.7,1.0,1.2,1.0,1.2,1.0,1.24
3.7,1.7,1.6,1.0,1.2,1.0,1.0,1.0,1.288
2.6,1.5,1.2,1.0,1.2,1.0,1.2,1.0,1.236
2.6,1.5,1.2,1.4,1.2,1.0,1.2,1.0,1.198
2.6,1.5,1.1,1.0,1.2,1.0,1.2,1.0,1.21
2.6,1.5,1.5,1.0,1.2,1.0,1.5,1.0,1.224
3838.3372521,1.4609154,0.2933124,0.110663,0.0640185,0.0641292,0.1100214,0.0714714,9.293322974
3838.3372521,1.4609154,6.187118,0.0807971,0.0640185,0.0641292,0.0585923,0.0569174,2.450667608
3838.3372521,1.4609154,0.8393646,6.8149948,0.0640185,0.0641292,0.1667563,0.0859647,4.059854374
3838.3372521,1.4609154,6.187118,6.8149948,0.0640185,0.0641292,0.0640185,0.0585923,1.559920316
1101.7794714,1.4609154,0.3301139,0.0640185,0.0640185,0.0641292,0.0640185,0.0569174,0.252588318
1101.7794714,1.4609154,0.1074399,0.1496886,0.0640185,0.0641292,0.0612873,0.0585923,0.165050944
755.4864375,1.4609154,1.289201,0.0986456,0.0640185,0.0641292,0.0876716,0.0569174,0.215663156
755.4864375,1.4609154,0.7140209,0.0876716,0.0640185,0.0641292,0.0738731,0.0640185,0.542473256
499.789925,1.4609154,0.0986456,0.0913636,0.0640185,0.0641292,0.0807971,0.0640185,0.369989568
499.789925,1.4609154,0.1100214,0.1100214,0.0612873,0.0641292,0.1074399,0.0569174,0.120109032
373.9754186,1.4609154,0.0674181,0.1074399,0.0612873,0.0641292,0.0876716,0.0569174,0.148120722
373.9754186,1.4609154,0.1382401,0.0820149,0.0612873,0.0641292,0.0807971,0.0569174,0.103207392
27.6823847,1.4609154,0.2086107,0.0585923,0.0612873,0.0641292,0.0640185,0.0585923,0.08053408
27.6823847,1.4609154,0.1496886,0.0859647,0.0612873,0.0641292,0.0641292,0.0569174,0.101367862
27.6823847,1.4609154,0.0952059,0.0641292,0.0612873,0.0641292,0.07573,0.0641292,0.081338288
22.0714329,1.4609154,0.0612873,0.0937451,0.0612873,0.0641292,0.1496886,0.0585923,0.083434628
0.875883,0.875883,0.875883,0.379402,0.810469,0.379402,0.219358,0.11467,2.24738558
0.875883,0.875883,0.336409,0.269713,0.810469,0.379402,0.269713,0.11467,1.0475764
0.875883,0.875883,0.875883,0.40896,0.810469,0.379402,0.672892,0.219358,0.89876164
0.875883,0.875883,0.875883,2.4574,0.810469,0.379402,0.714872,0.269713,0.65098098
0.875883,0.875883,0.269713,0.11467,0.672892,0.11467,0.269713,0.11467,0.34974202
