UGAv,AGAv,UGA,AGA
0.965715858005,0.99768543672,0.965715858005,0.99768543672
0.965715858005,0.99768543672,0.965715858005,0.99768543672
0.965715858005,0.99768543672,0.965715858005,0.99768543672
0.965715858005,0.99768543672,0.965715858005,0.99768543672
0.986091310888,0.998874560244,0.986091310888,0.998874560244
0.986092573618,0.998874560244,0.986092573618,0.998874560244
0.986092573618,0.998874560244,0.986092573618,0.998874560244
0.986092573618,0.998874560244,0.986092573618,0.998874560244
0.99200736767,0.999272022385,0.99200736767,0.999272022385
0.992010132301,0.999272022385,0.992010132301,0.999272022385
0.992010132301,0.999272022385,0.992010132301,0.999272022385
0.992010132301,0.999272022385,0.992010132301,0.999272022385
0.994881917932,0.999456868913,0.994881917932,0.999456868913
0.994888075517,0.9994560379,0.994888075517,0.9994560379
0.994888075517,0.9994560379,0.994888075517,0.9994560379
0.994888075517,0.9994560379,0.994888075517,0.9994560379
0.95146344636,0.982208394561,0.95146344636,0.982208394561
0.95513881576,0.982350373177,0.95513881576,0.982350373177
0.95513881576,0.985284231928,0.95513881576,0.985284231928
0.95513881576,0.985284231928,0.95513881576,0.985284231928
0.983992983185,0.992920655444,0.983992983185,0.992920655444
0.983992983185,0.992920655444,0.983992983185,0.992920655444
0.983992983185,0.992920655444,0.983992983185,0.992920655444
0.983992983185,0.992920655444,0.983992983185,0.992920655444
0.991619971935,0.99559379738,0.991619971935,0.99559379738
0.991619971935,0.99563074731,0.991619971935,0.99563074731
0.991619971935,0.99563074731,0.991619971935,0.99563074731
0.991619971935,0.99563074731,0.991619971935,0.99563074731
0.994765337078,0.996814366362,0.994765337078,0.996814366362
0.994837250432,0.996856177537,0.994837250432,0.996856177537
0.994837250432,0.996856177537,0.994837250432,0.996856177537
0.994837250432,0.996856177537,0.994837250432,0.996856177537
0.951779113459,0.972613132637,0.951779113459,0.972613132637
0.951779113459,0.972613132637,0.951779113459,0.972613132637
0.951779113459,0.972613132637,0.951779113459,0.972613132637
0.951779113459,0.972613132637,0.951779113459,0.972613132637
0.978406090239,0.985539276165,0.978406090239,0.985539276165
0.978406090239,0.985539276165,0.978406090239,0.985539276165
0.978406090239,0.985539276165,0.978406090239,0.985539276165
0.978406090239,0.985539276165,0.978406090239,0.985539276165
0.986036708514,0.989749933781,0.986036708514,0.989749933781
0.986049695515,0.989536403319,0.986049695515,0.989536403319
0.986049695515,0.989536403319,0.986049695515,0.989536403319
0.986049695515,0.989536403319,0.986049695515,0.989536403319
0.989601640349,0.991728186293,0.989601640349,0.991728186293
0.989575364323,0.991697681941,0.989575364323,0.991697681941
0.989575364323,0.99156056337,0.989575364323,0.99156056337
0.989575364323,0.99156056337,0.989575364323,0.99156056337
0.995285962893,0.998823468486,0.995285962893,0.998823468486
0.995285962893,0.998823468486,0.995285962893,0.998823468486
0.995285962893,0.998823468486,0.995285962893,0.998823468486
0.995285962893,0.998823468486,0.995285962893,0.998823468486
0.99804389822,0.999423140138,0.99804389822,0.999423140138
0.99804389822,0.999423140138,0.99804389822,0.999423140138
0.99804389822,0.999423140138,0.99804389822,0.999423140138
0.99804389822,0.999423140138,0.99804389822,0.999423140138
0.998785568951,0.999578310154,0.998785568951,0.999578310154
0.998785568951,0.999578310154,0.998785568951,0.999578310154
0.998785568951,0.999578310154,0.998785568951,0.999578310154
0.998785568951,0.999578310154,0.998785568951,0.999578310154
0.999118936814,0.99964233086,0.999118936814,0.99964233086
0.999118936814,0.99964233086,0.999118936814,0.99964233086
0.999118936814,0.99964233086,0.999118936814,0.99964233086
0.999118936814,0.99964233086,0.999118936814,0.99964233086
0.933979887759,0.989937680877,0.933979887759,0.989937680877
0.933979887759,0.989937680877,0.933979887759,0.989937680877
0.933979887759,0.989937680877,0.933979887759,0.989937680877
0.933979887759,0.989937680877,0.933979887759,0.989937680877
0.981549747133,0.993084697118,0.981549747133,0.993084697118
0.981772344619,0.99324095129,0.981772344619,0.99324095129
0.981772344619,0.993563676776,0.981772344619,0.993563676776
0.981772344619,0.993563676776,0.981772344619,0.993563676776
0.990125540078,0.994383364094,0.990125540078,0.994383364094
0.990125540078,0.994383364094,0.990125540078,0.994383364094
0.990125540078,0.994383364094,0.990125540078,0.994383364094
0.990125540078,0.994383364094,0.990125540078,0.994383364094
0.993943141464,0.994876783981,0.993943141464,0.994876783981
0.993950429692,0.994862684324,0.993950429692,0.994862684324
0.993950429692,0.994959134153,0.993950429692,0.994959134153
0.993950429692,0.994959134153,0.993950429692,0.994959134153
0.951074858404,0.990833119698,0.951074858404,0.990833119698
0.953225421324,0.990897659876,0.953225421324,0.990897659876
0.953221664753,0.990893429193,0.953221664753,0.990893429193
0.953221664753,0.990893429193,0.953221664753,0.990893429193
0.9849059523,0.996781996471,0.9849059523,0.996781996471
0.9849059523,0.996781996471,0.9849059523,0.996781996471
0.987031411571,0.997194027187,0.987031411571,0.997194027187
0.988013216559,0.997266727863,0.988013216559,0.997266727863
0.993503167634,0.998004328986,0.993503167634,0.998004328986
0.99370214809,0.998085650122,0.99370214809,0.998085650122
0.99396592695,0.998107732839,0.99396592695,0.998107732839
0.99396592695,0.998107732839,0.99396592695,0.998107732839
0.996533018582,0.998343958694,0.996533018582,0.998343958694
0.996533018582,0.998343958694,0.996533018582,0.998343958694
0.996533018582,0.998343958694,0.996533018582,0.998343958694
0.996489090296,0.998379144193,0.996489090296,0.998379144193
0.995471767215,0.99800187737,0.995471767215,0.99800187737
0.995471767215,0.99800187737,0.995471767215,0.99800187737
0.995471767215,0.99800187737,0.995471767215,0.99800187737
