order,apfdc,ft,at,subject,gn,ts,techniques
0,0.918746041207,2080.5458474,12477.3749417,UGT
0,0.989226511036,34.8493513,8104.55670781,UGT
0,0.944926904812,25.5,9093.9266485,UGT
0,0.993097364863,1053.58998799,25875.974652,UGT
0,0.924466251008,77.380464,267022.311085,UGT
0,0.905044784765,128.6777174,49942.5189145,UGT
0,0.949196351309,15141.492525,110255.632127,UGT
0,0.892748922691,1060.948391,206773.377076,UGT
0,0.964553324526,111.4269027,15070.5387677,UGT
0,0.956682815512,111.0,682.224889543,UGT
0,0.840087851261,7000.6182803,685325.372644,UGT
0,0.937713312675,7497.8811583,237999.52977,UGT
0,0.854046809006,8365.0947933,587075.396934,UGT
0,0.95550483992,904.2,15021.6802382,UGT
0,0.943552801548,32.037,1206.63231143,UGT
0,0.96376976824,2.7,204.740913043,UGT
0,0.961107424651,136.213,1004.6384556,UGT
1,0.92418428549,878.3958219,11853.0419314,UGA
1,0.990710563432,208.8852158,7491.09237018,UGA
1,0.948351213557,91.6,8586.05149864,UGA
1,0.992656696411,1053.58998799,26906.3148088,UGA
1,0.976206232476,576.853761,85485.2031091,UGA
1,0.905377273237,62.1715993,49946.4926634,UGA
1,0.975428558626,21.879516,52084.1544606,UGA
1,0.905176007926,1060.948391,184564.77208,UGA
1,0.973289304509,111.4269027,11933.336276,UGA
1,0.960124021163,111.0,675.159351988,UGA
1,0.881014730187,1748.4979561,516210.05605,UGA
1,0.96109501828,164.7975427,163829.676838,UGA
1,0.915460823813,92.2748045,350188.912681,UGA
1,0.96294183923,614.9,12792.2997293,UGA
1,0.965132314768,32.037,814.01128102,UGA
1,0.980372230184,1.1,129.532217391,UGA
1,0.9639477752,136.213,990.651368082,UGA
2,0.925158434286,3.8827862,11536.1653142,UGE
2,0.992300020928,0.873432,6501.50435948,UGE
2,0.923011266,28.1,12661.1807629,UGE
2,0.984331113238,903.119739054,43614.2436369,UGE
2,0.961102984863,14.5358,137882.174288,UGE
2,0.888315278009,0.8847463,58201.5497038,UGE
2,0.97881814667,2.424359,48370.1082423,UGE
2,0.932552888392,5.247013,135205.32783,UGE
2,0.965825820845,423.4674755,14428.0894213,UGE
2,0.955000103623,111.0,738.231664212,UGE
2,0.934088855218,2.7191313,290065.790381,UGE
2,0.962886299592,13.8258447,156975.274489,UGE
2,0.930339540344,368.4078955,291041.717858,UGE
2,0.961513366594,61.8,13027.0936654,UGE
2,0.933836269541,0.525,1362.80322658,UGE
2,0.984127591453,2.2,112.999521739,UGE
2,0.959454915406,3.101,1018.79776705,UGE
3,0.911240274971,0.8545472,13720.3797871,UARP
3,0.992651854124,0.7232254,6349.70466307,UARP
3,0.916684905634,28.1,13612.2195095,UARP
3,0.986598698057,4.8447240591,39022.4273127,UARP
3,0.963125269452,0.88265,130733.739019,UARP
3,0.915899614987,0.9726471,44344.8038192,UARP
3,0.957554614684,1.923073,78911.8996452,UARP
3,0.931163925534,294.588942,141872.265135,UARP
3,0.950325739316,1.5293633,19745.0778828,UARP
3,0.934387755419,37.9,921.89646539,UARP
3,0.922588284822,2.7191313,332772.525897,UARP
3,0.964037397056,10.5610921,153319.889126,UARP
3,0.927006070029,178.1479078,302729.456268,UARP
3,0.956126426347,34.1,14684.114131,UARP
3,0.965083967993,0.01,816.766850907,UARP
3,0.976577399754,0.505,146.501826087,UARP
3,0.920475174022,0.317,1799.93918533,UARP
4,0.987797978029,0.4716187,2190.94875731,AGT
4,0.993492663022,0.5162204,5807.7005282,AGT
4,0.937853514645,25.5,10194.7230518,AGT
4,0.988197564316,2.83285796642,34774.6048491,AGT
4,0.987713873766,7.833392,43694.6829613,AGT
4,0.980531624077,0.0690183,12042.5222731,AGT
4,0.990647304995,0.192166,22666.8449459,AGT
4,0.977403818353,3.825011,52871.4686424,AGT
4,0.989885795608,1.2143689,5745.75374005,AGT
4,0.939436348857,6.5,819.932547865,AGT
4,0.974020324053,0.3723798,117774.172334,AGT
4,0.982754131322,0.5210832,92273.3430728,AGT
4,0.973419913884,48.762386,123245.864804,AGT
4,0.965398201729,16.9,11609.2353546,AGT
4,0.982362907665,0.01,483.656051005,AGT
4,0.986215087203,1.1,102.716956522,AGT
4,0.975609747391,0.723,647.818208494,AGT
5,0.988201852662,0.1688359,2133.55666252,AGA
5,0.99429387253,0.1474411,5403.44647471,AGA
5,0.957832290889,25.5,6988.1080654,AGA
5,0.976840095168,2.83285796642,59215.4575117,AGA
5,0.99264588474,0.567724,26432.0289982,AGA
5,0.981958768483,0.0690183,11370.8521306,AGA
5,0.986937990529,0.192166,28997.1158514,AGA
5,0.981708170128,3.55748,45356.0430731,AGA
5,0.99012569088,1.2143689,5662.69505375,AGA
5,0.964273130685,6.5,525.352135493,AGA
5,0.982522857985,0.2870746,82462.2324651,AGA
5,0.983464146649,0.5210832,90194.8539878,AGA
5,0.97672700463,48.762386,110530.001589,AGA
5,0.969685555674,16.9,10247.6922036,AGA
5,0.983243742338,0.01,469.216248161,AGA
5,0.986873288101,0.605,100.109304348,AGA
5,0.977904911495,0.426,610.736393822,AGA
6,0.988300845681,1.0109609,2122.97936778,AGE
6,0.994184990291,0.2661558,5462.02206304,AGE
6,0.927067324507,50.5,11994.9316076,AGE
6,0.988604978006,2.83285796642,33952.8647214,AGE
6,0.977494285186,6.95462,79785.6771524,AGE
6,0.976710226369,1.7807486,13998.3371762,AGE
6,0.991066494646,10.392848,22411.1031449,AGE
6,0.978717776909,210.435969,50817.4066693,AGE
6,0.989729597655,2.9337961,5802.52769125,AGE
