UGT,UGA,UGE,UARP,AGT,AGA,AGE,AARP,SUGT,SUGA,SUGE,SUARP,SAGT,SAGA,SAARP,RANDOM,subject,gn,ts
5333.15362459,2099.15161912,2925.38364836,4436.11705933,223.077186861,191.97299336,460.371020925,5075.85642836,5333.15362459,2093.99871978,3285.69395875,3193.5025988,223.077186861,338.789423678,4389.96133912,4204.78915763,blueflood,8,2.0
26864.5921995,11534.4223126,15458.7618119,16065.8525039,5901.06197813,5486.63026034,3941.31841246,17797.5357719,26864.5921995,10386.6087976,11268.6599032,7511.32504985,5410.38930981,4967.34944631,16737.9266214,16304.0723867,commons-pool,8,2.0
80.224025974,57.787012987,61.7441558442,87.312987013,56.3058441558,40.3103896104,40.9863636364,99.7837662338,80.224025974,74.7551948052,63.9603896104,94.0,56.3058441558,44.8896103896,81.1831168831,81.6014415584,scribe-java,8,2.0
1662.03901301,1153.07941612,716.491799417,677.650162362,503.597437291,425.754121594,411.164808646,706.07861295,1662.03901301,624.302962417,624.053876167,619.534575183,470.633243115,426.189330158,734.125319088,685.651092943,jsprit,8,2.0
504.778181818,151.021818182,124.95,110.768181818,79.2618181818,69.2236363636,73.7918181818,191.220909091,504.778181818,146.895454545,168.011818182,94.12,79.2618181818,69.9536363636,131.777272727,150.952636364,java-apns,8,2.0
26798.6163363,12907.1091239,15112.5152167,15091.9259815,3416.23893768,3801.76239814,3786.95311757,16473.2402312,26325.4206116,11314.0575023,9541.29405909,10450.0685531,3416.23893768,3713.87347712,15406.1627497,15833.1846316,stream-lib,8,2.0
286.320664641,306.626198403,299.187313301,353.428437937,269.808460121,260.660270689,263.158471228,296.06390183,279.268727063,289.658105985,284.693940015,289.975794078,262.521091359,256.930698316,277.797863903,299.276900196,LastCalc-0.1,8,2.0
995.161104024,303.205173172,655.102529366,480.189986929,534.197751214,220.713813365,198.193475736,518.094718615,995.161104024,280.065030852,238.566223589,320.055512908,534.197751214,219.320805782,525.90544922,472.873497267,rome-1.5.0,8,2.0
20186.4361846,7059.15983197,11281.9430757,11141.8811478,1237.47065224,1085.92471244,2603.04141872,10972.7461834,20186.4361846,7058.43012462,9312.75856799,11940.2803748,1237.47065224,1018.39967052,14722.6682631,12270.2703788,RoaringBitmap,8,2.0
473.641846045,289.185006515,306.571683592,284.731015131,299.273066008,258.342836526,261.429888177,324.400931235,473.641846045,289.238494901,279.576636232,302.884476353,299.273066008,247.99094884,320.451421782,324.47099354,raml-java-parser-master,8,2.0
110.473359873,65.6039393067,103.626001507,132.393932333,49.4036657867,42.2079120733,48.1428780067,96.4102517867,93.96006352,59.6008098733,60.9063655133,87.6955037867,45.1816594467,40.7147685067,105.41265736,94.3162438,jackson-datatype-guava,8,2.0
4340.23673025,3325.65645777,6709.50959128,6929.65891008,5046.33950954,3322.48920981,5265.23929155,7472.03247956,4340.23673025,3325.65645777,5570.71847411,5068.47825613,5046.33950954,3797.76463215,7729.88212534,7583.68040545,assertj-core,8,2.0
62782.2942525,29036.1880081,44927.3250733,36317.8372042,18846.2557035,23179.254087,20944.5935155,36101.2535044,62782.2942525,28272.4237319,36448.2861561,25297.1151288,19205.5260946,21940.9179091,33163.3417202,35212.8933121,mapdb-mapdb-1.0.9,8,2.0
163.450409132,56.7960954359,136.814126363,135.786870209,47.9037619312,23.8175123752,36.2161043158,130.303028425,163.450409132,52.8621697099,55.883345359,123.058694228,47.9037619312,25.3699693833,83.2180008893,118.375543988,lambdaj-master,8,2.0
297.85112782,260.783834586,315.587969925,324.122932331,228.195112782,184.25112782,197.2,312.284210526,288.723684211,240.854135338,205.876315789,310.429699248,214.137593985,190.609398496,301.095864662,316.967849624,metrics-core,8,2.0
142824.314235,49738.4052842,61040.956319,60739.9916211,17262.9816252,7351.12893825,32300.4258388,55339.6868835,142824.314235,30594.9274171,52555.0247282,45545.1842926,17262.9816252,10588.0107493,60247.4907924,61744.7545647,camel-core,8,2.0
26.0613221852,24.1380110494,21.0661779383,22.5608117284,21.2215276543,20.5348798148,19.1508413086,26.8444908765,26.0613221852,23.1971878889,22.175436358,22.8149892593,20.4158828025,18.1081511481,26.2270326296,24.9864525321,gson-fire,8,2.0
16645.7312331,4666.61115456,11699.8271999,13263.6598586,361.540799076,968.213930602,747.900696441,5681.64809855,16645.7312331,1341.18557588,3434.19462953,5669.17332712,361.540799076,266.743081084,11767.0770684,9584.76585761,commons-dbcp,8,2.0
734.550144824,744.465488333,869.41806302,734.981214265,833.028941912,752.515387637,737.15615948,734.550735971,714.018123108,706.446927275,699.897431588,729.088245971,756.927656441,744.829832863,756.438973333,772.310632524,ews-java-api,8,2.0
25860.5361347,9254.3683184,11416.27047,10575.8526324,1414.71230425,1908.65437193,2831.41424073,11751.9256718,25860.5361347,8278.04179137,9029.6870634,8068.78086157,1414.71230425,2464.63554736,12792.2617567,11197.0403673,commons-math,8,2.0
37633.0106399,13438.0928891,17290.6136949,11945.0436947,7442.36074145,7864.60813966,7176.56511732,22840.6956939,37633.0106399,12679.664866,9152.19491623,15621.2797117,6986.40963205,7063.11255392,13607.7499369,15211.1522754,OpenTripPlanner-otp-0.20.0,8,2.0
98903.6478922,54699.2079514,62316.7882932,43358.9941716,12430.954292,7032.87476905,10589.0601369,45139.8544848,98903.6478922,33824.2908735,35796.9690268,33825.7118341,12430.954292,7725.16446368,50219.5114398,56086.4474629,hbase-1.2.2,8,2.0
9594.37142857,6339.31972789,7506.03673469,8407.48503401,9495.33877551,5873.52517007,6348.42857143,9314.72517007,9594.37142857,6409.23537415,5895.23129252,9097.45918367,9495.33877551,6093.98843537,9078.76938776,9447.37591837,jasmine-maven-plugin,8,2.0
16202.1574082,5066.05884696,10887.8063304,14292.9926929,873.874305163,999.180187549,831.777326367,9211.25162573,16202.1574082,4192.80223443,6525.97587597,4554.6677893,873.874305163,1213.83697515,9078.44124775,9696.96237726,commons-io,8,2.0
264.382179676,157.389248895,158.72533137,230.291605302,233.603681885,131.744182622,164.13814433,181.026804124,264.382179676,147.12017673,155.545802651,138.521207658,233.603681885,128.499852725,197.777466863,208.062312224,jopt-simple,8,2.0
4509.76995639,4499.27232584,5346.03528154,4914.47803745,4483.41242629,4490.9390563,4469.83150721,4572.05509732,4509.76995639,4527.95261966,5360.1324978,5051.47030718,4479.36257361,4514.39163,4594.72778775,4834.49362092,redline-smalltalk-master,8,2.0
17.2193255169,14.495701661,13.0956510593,19.3915173136,16.8661971356,12.5667667458,12.4637951864,19.6136537458,17.2193255169,13.9905411356,13.4661871695,20.7365507881,16.0377021186,12.9730975932,14.9469718983,19.0082431247,gdx-artemis-master,8,2.0
301737.566256,175147.127921,129775.875288,144766.961159,53427.3844043,32277.856617,51841.2399635,162754.470859,301737.566256,167419.061115,137208.708586,122723.544719,53427.3844043,31151.0976864,101992.768304,139233.25278,languagetool,8,2.0
181994.257324,33062.7073619,77910.218082,38258.916742,14664.931648,16273.2593716,16081.7988529,58648.9735175,181994.257324,33062.7073619,48390.3914715,32186.9222887,14664.931648,15480.9864243,55473.5314329,53692.7931485,hivemall,8,2.0
905.153082513,363.956123882,634.193992763,382.840322351,197.022161335,167.760915497,189.807437346,274.663098904,905.153082513,218.545650446,226.909858499,259.510492091,197.022161335,169.79527087,399.65850861,369.089186173,asterisk-java,8,2.0
224056.040764,106635.581657,236168.87365,119816.834102,21960.6230563,19991.6570302,20094.0390398,95603.1555002,224056.040764,86912.7215096,98385.3283176,118313.178093,21960.6230563,15005.038139,160645.326798,114567.416719,chukwa,8,2.0
