UGT,UGA,UGE,UARP,AGT,AGA,AGE,AARP,SUGT,SUGA,SUGE,SUARP,SAGT,SAGA,SAARP,RANDOM,subject,gn,ts
449.2997603,243.0713253,0.1115097,0.0915329,0.0469876,0.0469876,0.1058506,0.1059377,449.2997603,243.0713253,0.090854,0.0518593,0.0469876,0.0469876,0.0587849,0.14840797,RoaringBitmap,4,2.0
94.4520103,80.9030157,0.0488282,0.0571846,0.0469876,0.0469876,0.0545388,0.0526879,94.4520103,80.9030157,0.0684516,0.0518593,0.0469876,0.0469876,0.051291,0.068984462,RoaringBitmap,8,2.0
94.4520103,80.9030157,0.0571509,0.0495154,0.0469876,0.0469876,0.0650857,0.0915329,94.4520103,80.9030157,0.0577578,0.0518593,0.0469876,0.0469876,0.0527899,0.060895108,RoaringBitmap,12,2.0
58.4015532,58.4015532,0.0624299,0.0990192,0.0469876,0.0469876,0.0508855,0.0526495,58.4015532,58.4015532,0.0577578,0.0518593,0.0469876,0.0469876,0.0668302,0.0591521,RoaringBitmap,16,2.0
10.827482,4.007863,1.128613,1.366304,0.617783,0.617783,0.953299,1.131429,10.827482,4.007863,4.138133,1.287721,0.617783,0.141097,1.338679,1.71434142,raml-java-parser-master,4,2.0
3.276345,0.940172,1.140405,0.941167,0.617783,0.617783,0.750924,1.128613,3.276345,0.940172,3.110766,1.140405,0.617783,0.141097,0.951649,1.22066944,raml-java-parser-master,8,2.0
2.724604,0.940172,1.250878,0.857133,0.617783,0.141097,0.714877,0.765099,2.724604,0.940172,1.353664,0.464366,0.617783,0.141097,0.398281,0.9722683,raml-java-parser-master,12,2.0
2.724604,0.940172,0.951649,1.120762,0.617783,0.141097,0.617783,0.953299,2.724604,0.940172,1.353664,0.276766,0.617783,0.141097,1.227798,0.89192552,raml-java-parser-master,16,2.0
4.044769,2.053097,4.044769,0.906946,0.181006,0.181006,0.829648,0.94038,4.044769,2.053097,4.044769,0.405088,0.181006,0.181006,0.405088,0.90035266,jackson-datatype-guava,4,2.0
4.044769,0.923609,1.054134,0.181006,0.181006,0.181006,0.405129,0.405088,4.044769,0.923609,0.663517,0.405088,0.181006,0.181006,0.650346,0.54746084,jackson-datatype-guava,8,2.0
3.374348,0.923609,0.409072,0.829648,0.181006,0.181006,0.405129,0.829648,3.374348,0.923609,0.663517,0.405088,0.181006,0.181006,0.405088,0.5756144,jackson-datatype-guava,12,2.0
3.374348,0.66893,0.409072,0.405129,0.181006,0.181006,0.181006,0.66893,3.374348,0.638044,0.663517,0.405088,0.181006,0.181006,0.181006,0.4349371,jackson-datatype-guava,16,2.0
25.5,26.1,26.2,22.9,25.5,23.4,25.5,25.5,25.5,26.1,25.9,22.9,25.5,23.4,24.4,24.796,assertj-core,4,2.0
25.5,26.1,23.0,23.8,25.5,22.9,24.0,24.4,25.5,26.1,24.3,22.9,25.5,22.9,23.7,24.174,assertj-core,8,2.0
25.5,22.9,23.1,24.8,22.9,22.9,23.8,22.9,25.5,22.9,24.3,22.9,22.9,22.9,23.4,23.744,assertj-core,12,2.0
22.9,22.9,23.8,24.0,22.9,22.9,24.3,23.1,22.9,22.9,24.3,22.9,22.9,22.9,24.4,23.6,assertj-core,16,2.0
287.713712931,171.395787001,7.2659560442,3.34930896759,0.949913024902,0.253507018089,4.39874601364,2.63696300983,287.713712931,171.395787001,0.27455496788,1.45272397995,0.949913024902,0.253507018089,2.83398902416,7.451616714,mapdb-mapdb-1.0.9,4,2.0
4.28567790985,53.8394290209,1.75622403622,0.891941905022,0.949913024902,0.253507018089,1.7394349575,1.62172102928,4.28567790985,171.395787001,0.27455496788,1.45272397995,0.949913024902,0.253507018089,2.43724906445,1.78707382679,mapdb-mapdb-1.0.9,8,2.0
4.28567790985,53.8394290209,1.30645000935,0.853104948997,0.949913024902,0.253507018089,0.516927957535,0.463364005089,4.28567790985,3.1729940176,0.27455496788,1.45272397995,0.949913024902,0.253507018089,4.11413109302,1.13803071976,mapdb-mapdb-1.0.9,12,2.0
4.28567790985,3.1729940176,0.840422034264,0.220767021179,0.949913024902,0.220767021179,0.868250966072,1.79872500896,4.28567790985,3.1729940176,0.27455496788,1.45272397995,0.949913024902,0.253507018089,0.285627007484,0.792795703411,mapdb-mapdb-1.0.9,16,2.0
0.398602,0.398602,0.346089,0.148909,0.133722,0.133722,0.208855,0.443823,0.398602,0.398602,0.310245,0.107418,0.133722,0.133722,0.330706,0.27487334,lambdaj-master,4,2.0
0.345107,0.398602,0.456602,0.215006,0.133722,0.133722,0.205963,0.23309,0.345107,0.398602,0.310245,0.107418,0.133722,0.107418,0.109469,0.19331706,lambdaj-master,8,2.0
