UGT,UGA,UGE,UARP,AGT,AGA,AGE,AARP,SUGT,SUGA,SUGE,SUARP,SAGT,SAGA,SAARP,RANDOM,subject,gn,ts
0.922109187731,0.965715858005,0.937349866775,0.933992045925,0.997308912018,0.99768543672,0.993255509044,0.947862076445,0.922109187731,0.966504964415,0.949319500541,0.950244743941,0.997308912018,0.995263887472,0.930238955106,0.93799177932,blueflood,4,2.0
0.89195785133,0.95513881576,0.927886254453,0.950742210493,0.984379341692,0.985284231928,0.98739834206,0.94355623272,0.89195785133,0.955809965291,0.956308355155,0.970266281842,0.984379341692,0.986398509684,0.95007212351,0.946496958549,commons-pool,4,2.0
0.927841654024,0.951779113459,0.947991590464,0.936899483329,0.956265820357,0.972613132637,0.972029623652,0.932031018999,0.927841654024,0.941898874752,0.94508431433,0.929987529459,0.956265820357,0.968737569854,0.933082513063,0.930908902831,scribe-java,4,2.0
0.992978719197,0.995285962893,0.997314563475,0.997634019973,0.998557272512,0.998823468486,0.998832240356,0.996643234883,0.992978719197,0.997292865207,0.997789583113,0.997906857334,0.99887456311,0.998890744174,0.997287494983,0.997539509323,jsprit,4,2.0
0.832792982703,0.933979887759,0.949639838902,0.972987168358,0.985868601548,0.989937680877,0.989299177561,0.975128477166,0.832792982703,0.93472764639,0.926255046587,0.974277252934,0.985868601548,0.989733133677,0.954241367604,0.954659086636,java-apns,4,2.0
0.904085710495,0.953221664753,0.960953576694,0.938990607825,0.9957178225,0.990893429193,0.995555459657,0.949460851924,0.904085710495,0.954975691163,0.965758932237,0.965047445557,0.9957178225,0.991394422155,0.963171444335,0.949540375005,stream-lib,4,2.0
0.995775113852,0.995471767215,0.994704398599,0.99449363303,0.997811509096,0.99800187737,0.997488848903,0.997200867069,0.996494122261,0.995583493503,0.995739633045,0.995758414352,0.998101907135,0.998280905293,0.996468508526,0.994727282112,LastCalc-0.1,4,2.0
0.893105548774,0.964731690156,0.955572762788,0.944649787575,0.945350975579,0.977210516221,0.982320634535,0.955585941382,0.893105548774,0.966714671975,0.973858364222,0.965068858318,0.945350975579,0.977373354727,0.954915837154,0.952577259265,rome-1.5.0,4,2.0
0.92512070694,0.969023064591,0.943082457865,0.954381307259,0.99628729169,0.996584128088,0.991638430559,0.927042552413,0.92512070694,0.969024090635,0.962925968649,0.948349900792,0.99628729169,0.996963706346,0.958627930661,0.948118714296,RoaringBitmap,4,2.0
0.936702864736,0.975835879255,0.975981983868,0.969082168933,0.975896861365,0.984436497835,0.984419659843,0.9703274057,0.936702864736,0.975856832477,0.973565933988,0.972334989622,0.975896861365,0.985255525056,0.961341849679,0.968629554032,raml-java-parser-master,4,2.0
0.955220570233,0.978216126967,0.96823766346,0.952386520438,0.983996519765,0.986401621539,0.987280259814,0.946114974427,0.955220570233,0.97831854232,0.97310678227,0.958208825285,0.983996519765,0.986154539188,0.951208235058,0.955463020685,jackson-datatype-guava,4,2.0
0.947408749124,0.960226811218,0.917225011471,0.895594528095,0.938432089306,0.959847977308,0.933362038171,0.913728177907,0.947408749124,0.960226811218,0.932690932873,0.938241209275,0.938432089306,0.953827700141,0.913272898761,0.907527708163,assertj-core,4,2.0
0.939234342314,0.975407931132,0.949307562902,0.975942441767,0.991776290867,0.983916709973,0.988856076414,0.970492563128,0.939234342314,0.97831618998,0.968031102611,0.983142196872,0.991998966219,0.986190346801,0.966475889077,0.967056827543,mapdb-mapdb-1.0.9,4,2.0
0.935628889147,0.979743200202,0.965757527476,0.942374279347,0.986506118664,0.994304552362,0.990694083278,0.937006922833,0.935628889147,0.981417502101,0.980169851853,0.944911256269,0.986506118664,0.993839769324,0.94864166383,0.951763899867,lambdaj-master,4,2.0
0.937590079381,0.944775750961,0.853594455807,0.949004175971,0.964179313691,0.972687346552,0.972383901094,0.956847800264,0.937590079381,0.94941785519,0.959428307223,0.931026288412,0.964179313691,0.966671657851,0.946547278501,0.938464054756,metrics-core,4,2.0
0.918274367047,0.971484387205,0.966481083679,0.96486365227,0.990230223513,0.995905325314,0.98292904303,0.963196700569,0.918274367047,0.982371505748,0.969761079069,0.973627776121,0.990230223513,0.994042486289,0.965448727614,0.964652548886,camel-core,4,2.0
0.952247284546,0.964339838235,0.935000049798,0.93407806628,0.974190604515,0.973442724274,0.978357292188,0.959459655903,0.955341724171,0.963945460499,0.964905107661,0.968339452488,0.97877432865,0.98366649122,0.962060591672,0.95783895562,gson-fire,4,2.0
0.91767730706,0.975141930962,0.978814556965,0.931596373946,0.998647080921,0.995482131365,0.997205227707,0.967639642411,0.91767730706,0.991851547769,0.976853985696,0.963409282952,0.998647080921,0.998855247059,0.953357738901,0.945424405857,commons-dbcp,4,2.0
0.927254348304,0.918970562005,0.94246258383,0.846600335339,0.919249349383,0.918935724288,0.930791418206,0.921062799464,0.927254348304,0.920936882155,0.942942816595,0.923862840116,0.919249349383,0.917531277887,0.883371579939,0.911790692072,ews-java-api,4,2.0
0.882050082244,0.953732569714,0.943238442367,0.955147788836,0.994501908375,0.99200582279,0.987245409475,0.940582521835,0.882050082244,0.957924278166,0.95843536505,0.961672765873,0.994501908375,0.989595981539,0.944785149622,0.947481817398,commons-math,4,2.0
0.952413344222,0.987900069674,0.960684215714,0.97012731614,0.99472338003,0.994655618877,0.995538687124,0.979355585333,0.952413344222,0.987900069674,0.991874293336,0.9671576851,0.99472338003,0.994140248166,0.97447005127,0.978404551728,OpenTripPlanner-otp-0.20.0,4,2.0
