UGE,AGE,UGEm,AGEm
0.617783,0.700741,1.227798,0.951649
1.50733,0.971681,1.379846,0.981872
1.250878,0.714877,0.971681,0.617783
0.398281,0.617783,0.941167,0.617783
1.223356,0.617783,1.288829,0.398281
1.262012,0.617783,0.892904,0.617783
0.951649,0.617783,0.745414,0.617783
0.66893,0.405129,1.356129,0.405129
4.044769,0.405129,3.213992,0.181006
0.638044,0.409072,0.405129,0.603871
4.044769,0.829648,0.405088,0.638044
0.66893,0.409072,0.405088,0.409072
0.663517,0.181006,0.603871,0.409072
0.603871,0.663517,0.638044,0.405129
1.054134,0.405129,0.603871,0.181006
0.663517,0.405129,0.181006,0.181006
0.603871,0.409072,0.638044,0.405129
0.638044,0.409072,0.436379,0.181006
0.409072,0.405129,0.906946,0.181006
0.603871,0.181006,0.405129,0.181006
0.66893,0.405088,0.409072,0.409072
0.405129,0.181006,0.829648,0.409072
0.409072,0.181006,0.663517,0.181006
25.1,24.0,24.4,24.5
26.3,23.0,23.7,25.5
25.9,23.7,25.7,23.4
26.2,25.5,24.5,26.0
22.9,23.9,22.9,24.5
24.2,23.9,24.3,25.9
22.8,24.5,22.8,24.3
23.0,24.0,23.4,24.0
23.5,24.0,24.9,22.7
23.6,25.6,23.6,23.6
23.3,23.5,24.2,23.2
23.1,23.8,24.2,24.5
24.4,23.8,23.7,22.9
23.7,23.0,23.6,22.9
23.1,22.9,23.7,24.1
23.8,24.3,23.6,22.8
1.50888609886,1.42013597488,1.17974793911,13.6998809576
0.886865973473,3.25739097595,1.57043290138,1.03194797039
2.88291800022,2.17878508568,2.40389597416,0.885105013847
7.2659560442,4.39874601364,2.1145761013,4.67990493774
2.33208608627,0.909579992294,1.54693007469,0.456405997276
1.44616305828,1.9765380621,0.301568984985,0.926090955734
0.827363967896,3.12208402157,0.923496961594,0.394116044044
1.75622403622,1.7394349575,1.62172102928,0.891862988472
1.27130293846,0.80014705658,0.708441972733,1.03194797039
1.32335710526,0.802837014198,2.16123902798,1.24809002876
0.778900980949,1.57938790321,0.754608988762,0.694092988968
1.30645000935,0.516927957535,0.338292002678,1.8009660244
1.2103729248,1.58515191078,1.04323303699,0.456405997276
0.923496961594,1.2103729248,0.764454960823,0.325237989426
0.604765057564,0.281643986702,0.338292002678,1.95913100243
0.840422034264,0.868250966072,0.761317968369,0.281643986702
0.148909,0.133722,0.216465,0.208855
0.148211,0.213412,0.274328,0.16622
0.65609,0.155141,0.755626,0.15543
0.346089,0.208855,0.304291,0.155141
0.121415,0.164388,0.133722,0.103687
0.225918,0.133722,0.192106,0.103687
0.133722,0.109469,0.158923,0.260063
0.456602,0.205963,0.155141,0.157382
0.183424,0.146688,0.225693,0.155141
0.225918,0.146688,0.215276,0.15543
0.233135,0.157382,0.215276,0.121415
0.164388,0.15543,0.208753,0.155141
0.103687,0.15543,0.158923,0.107418
0.15543,0.133722,0.121415,0.113536
0.264174,0.189858,0.133722,0.113536
0.256401,0.157382,0.22441,0.15543
2.5,2.9,2.3,2.3
3.1,2.2,1.6,2.0
3.9,2.0,2.4,1.6
2.8,2.3,2.4,2.9
2.1,2.3,2.1,2.0
1.5,2.1,1.6,2.4
1.5,2.3,1.3,2.3
2.1,2.2,1.6,1.6
2.3,1.5,2.4,1.5
2.7,2.3,1.6,2.2
2.0,1.3,2.1,1.6
2.2,1.3,2.3,2.0
1.6,1.5,2.1,1.6
2.0,1.3,2.0,1.3
1.6,1.3,1.6,2.3
1.5,2.0,1.6,2.0
7.23257,0.28006,7.722706,12.3048
0.089719,3.959402,10.137022,0.151599
5.052639,8.311378,5.075722,3.769508
0.075314,7.631996,7.549204,7.652532
6.696768,4.522626,3.769508,4.106992
0.066903,5.543581,4.711276,0.1149
3.555812,3.629795,0.057057,4.485223
0.218622,4.667671,1.266008,2.912414
4.456436,4.475924,0.07394,0.887494
0.064231,1.989297,0.431481,0.574951
0.040416,0.48995,7.979462,4.671135
0.079537,4.453607,0.689096,0.07684
0.215447,0.409609,0.044359,3.273477
0.327035,3.726618,3.100284,0.122358
0.230737,0.117403,3.58447,0.120677
0.289055,0.07684,0.052046,0.223925
0.484707,0.185166,0.821941,0.484707
0.199675,0.199675,0.270044,0.270044
0.484707,0.185166,0.270044,0.270044
0.821941,0.185166,0.266726,0.194822
0.464989,0.199675,0.185166,0.196775
0.199675,0.200921,0.266726,0.185166
0.199675,0.200921,0.199675,0.185166
0.199675,0.185166,0.196775,0.199675
0.199675,0.185166,0.199675,0.185166
0.199675,0.196775,0.270044,0.185166
0.199675,0.185166,0.199675,0.196775
0.266726,0.185166,0.266726,0.185166
0.199675,0.196775,0.199675,0.185166
0.199675,0.196775,0.266726,0.185166
0.199675,0.185166,0.199675,0.185166
0.200921,0.185166,0.199675,0.185166
0.4508955,0.5400401,0.5647543,0.8412461
0.5089161,1.2962756,0.6133046,3.2961684
0.6164521,0.1682371,4.2610675,1.9313976
1.7690665,0.5497877,2.5158344,0.1061396
1.4872369,0.084064,0.6283626,0.3679332
0.0829075,0.5116856,0.7094963,0.7138611
0.1061396,0.6133046,0.9587804,0.1130869
1.2964727,0.6538016,0.6204904,0.1309553
0.2692838,0.5228924,0.3382219,0.3630828
0.5116856,0.084064,0.0836821,0.0829075
0.7525794,0.1309553,0.1031392,0.4040503
0.9166269,0.0843113,0.4646344,0.6368624
0.0843113,0.7094963,0.8113552,0.6613403
0.3679332,0.4101292,0.6816739,0.0829075
0.1061396,0.6538016,0.4884547,0.5116856
0.537263,0.4248855,0.3499451,0.7513828
1.051586,0.31681,0.486146,0.12171
0.372391,0.249273,0.372391,0.372391
0.222793,0.173143,0.116863,0.223212
0.251975,0.113095,0.133213,0.092904
0.309895,0.092904,0.122394,0.073043
0.167349,0.12171,0.082397,0.082397
0.190007,0.115028,1.149696,0.127575
0.128061,0.133213,0.165878,0.12171
0.167349,0.12171,0.139069,0.133213
0.139069,0.122394,0.073043,0.113095
0.133213,0.073043,0.165019,0.113095
0.134399,0.133213,0.221001,0.082397
0.133213,0.082397,0.165019,0.127575
0.192304,0.073043,0.082397,0.113095
0.139069,0.115028,0.092904,0.110681
0.092904,0.073043,0.092904,0.133213
0.0253846,0.0342185,0.062347,0.028915
0.0691627,0.1170963,0.0255692,0.0286191
0.0685608,0.1438513,0.0452027,0.0203226
0.0260549,0.0555643,0.0195797,0.0444505
0.0403585,0.0949655,0.0335541,0.0218137
0.0451284,0.0252265,0.0300322,0.0247772
0.0369309,0.0311208,0.0192592,0.0514757
0.0231658,0.0467258,0.0168409,0.0161586
0.0227713,0.0254105,0.033045,0.0436897
0.0235472,0.0253574,0.0161586,0.0289408
0.0286191,0.0226237,0.0493429,0.0420734
0.0293702,0.0253574,0.0238107,0.0269686
0.0216148,0.0292099,0.036432,0.0428609
0.0156434,0.0256981,0.0276309,0.0273529
0.0328905,0.0270247,0.0269686,0.0269686
0.0378865,0.0345723,0.0313154,0.0230854
0.210295,0.26381,0.12077,0.123829
0.209112,0.071999,0.44421,0.489811
1.947197,0.115992,0.077497,0.094787
1.453889,0.369985,0.506674,0.077497
0.389202,0.189113,0.100554,0.077844
0.44421,0.380475,0.68989,0.073547
0.333291,0.077844,0.095315,0.247718
0.087901,0.109452,0.168316,0.069731
0.073547,0.079641,0.324088,0.323691
0.09995,0.09995,0.153574,0.084389
0.157174,0.082121,0.108518,0.079641
0.324088,0.153574,0.157174,0.077844
0.087862,0.131599,0.14889,0.072908
0.328747,0.08013,0.087901,0.084389
0.070692,0.117805,0.080883,0.08013
0.073547,0.06471,0.086299,0.077497
131.359031,2.832474,15.348503,0.079509
0.100803,47.641325,0.098024,0.205995
110.722553,255.076266,0.809821,0.986774
3.55748,22.968502,2.374434,83.830323
0.105316,2.979994,0.100727,24.666427
11.457817,15.348503,0.237732,0.165273
1.703367,0.264997,0.121832,0.153291
36.141347,0.165273,30.964047,0.113679
0.077958,0.105316,0.098024,0.100803
3.55748,0.151993,10.374945,0.070637
0.385391,2.792051,0.459918,0.105316
0.069792,0.247641,15.784963,2.423773
0.296725,3.181525,0.069792,0.113679
0.198417,0.232012,0.121832,0.074123
8.257792,0.232012,0.264997,0.105316
0.105316,0.127282,4.506044,2.979994
492.2,488.7,487.1,499.3
489.3,489.2,487.1,487.1
488.7,488.7,489.5,501.9
489.3,501.9,487.1,488.7
485.0,488.7,487.1,488.7
488.7,487.1,488.7,488.7
487.1,487.1,488.7,488.7
489.3,488.7,487.1,489.3
488.7,488.7,487.1,488.7
484.3,488.7,483.6,488.7
489.2,488.1,486.0,489.3
485.0,488.7,488.8,488.7
487.1,488.7,485.0,487.1
485.0,488.7,488.1,488.7
483.6,488.7,487.1,488.7
486.0,488.7,488.7,484.3
0.409189,0.1337409,0.3960892,0.1873376
0.1989143,0.3223358,0.1116377,0.1603957
0.1268704,0.4527087,0.1163439,0.117126
